bin	 binerr	 trdepth	 tr_error
3.683417796999999716e+00	 1.082467999999999972e-02	 2.312558835833044418e-02	 1.014837888999999905e-04
3.715747674000000167e+00	 1.072871700000000046e-02	 2.274206135292082889e-02	 8.903887427999999623e-05
3.747792641000000202e+00	 1.063477999999999993e-02	 2.281112254090880698e-02	 9.076401473999999245e-05
3.779558817999999487e+00	 1.054298899999999914e-02	 2.297259890891409362e-02	 8.603326575000000312e-05
3.811053116999999713e+00	 1.045334300000000036e-02	 2.279185221819808940e-02	 9.985678242999999573e-05
3.842281341999999711e+00	 1.036572499999999751e-02	 2.271852252295931615e-02	 9.776409943000000796e-05
3.873250167000000133e+00	 1.028025200000000014e-02	 2.238675516550528086e-02	 8.822365778999999904e-05
3.903964677999999466e+00	 1.019620899999999948e-02	 2.241099598457417172e-02	 1.007283903000000036e-04
3.934430916999999361e+00	 1.011431200000000030e-02	 2.274365452272535115e-02	 9.225901499000000339e-05
3.964653810000000167e+00	 1.003444199999999932e-02	 2.264687116728907740e-02	 8.908148982999998956e-05
3.994638999000000190e+00	 9.955883000000000441e-03	 2.243618646529599650e-02	 9.220136170999999891e-05
4.024391492000000348e+00	 9.879588999999999385e-03	 2.251617603579568819e-02	 9.468949238000000021e-05
4.053915819000000198e+00	 9.803772000000000528e-03	 2.253572149104581326e-02	 9.571151691999998771e-05
4.083216826000000133e+00	 9.730338999999999308e-03	 2.273811206009975633e-02	 9.861801936999999897e-05
4.112299123999999750e+00	 9.657859999999999015e-03	 2.290859713601887254e-02	 1.024614557999999911e-04
4.141166845999999957e+00	 9.587287999999999366e-03	 2.269417268302464583e-02	 1.004516969000000061e-04
4.169824600000000103e+00	 9.518146999999997637e-03	 2.306360901524460993e-02	 1.121621638999999914e-04
4.198276360999999568e+00	 9.449959000000000831e-03	 2.337705507493737650e-02	 2.947276183000000112e-04
4.226525624999998954e+00	 9.383202000000000209e-03	 2.413462763698523417e-02	 7.752007084999999655e-04
4.254577318999999136e+00	 9.318112999999999396e-03	 2.426239028850908641e-02	 9.170652910000000324e-04
4.282433986999999220e+00	 9.253739999999999882e-03	 2.454987840243047850e-02	 1.275030239999999876e-04
4.310100078999999695e+00	 9.190558999999999187e-03	 2.474840054036992962e-02	 1.088096010999999968e-04
4.337578297000000305e+00	 9.128570999999998520e-03	 2.503809169048101801e-02	 1.229123328999999975e-04
4.364872614999999456e+00	 9.067773999999998932e-03	 2.490453574123965494e-02	 1.191288408999999974e-04
4.391987005999999916e+00	 9.008168999999999899e-03	 2.477459586899176738e-02	 1.197011454000000078e-04
4.418923059999999126e+00	 8.949518000000000056e-03	 2.466166192252259443e-02	 1.270316930999999979e-04
4.445684909999998879e+00	 8.891820999999999406e-03	 2.492898120337956949e-02	 1.284348850000000116e-04
4.472275892999999947e+00	 8.835315999999999309e-03	 2.430328459222352508e-02	 1.313036553999999911e-04
4.498697757999999602e+00	 8.779764000000000665e-03	 2.415529970325251685e-02	 1.378241322999999895e-04
4.524954636999999558e+00	 8.724927999999998116e-03	 2.392621479777102059e-02	 1.398856445999999978e-04
4.551048437999998697e+00	 8.670807000000000861e-03	 2.380871972934885464e-02	 1.399202044999999981e-04
4.576982338999998845e+00	 8.618116000000000318e-03	 2.362704325410036957e-02	 1.483316179999999971e-04
4.602758407999999690e+00	 8.566379999999998440e-03	 2.372092319300862090e-02	 1.637787958000000107e-04
4.628379662999999589e+00	 8.514881000000000186e-03	 2.339681102757742298e-02	 1.662553136999999769e-04
4.653848965999999088e+00	 8.464812999999999851e-03	 2.370342122126355838e-02	 1.809867130000000020e-04
4.679167747000000155e+00	 8.414983999999998618e-03	 2.378492929443524334e-02	 1.811580943999999995e-04
4.704339186000000339e+00	 8.366346000000000199e-03	 2.350960950756650347e-02	 1.984138043999999915e-04
4.729365190000000219e+00	 8.318423999999999610e-03	 2.388699427428915209e-02	 2.177325289999999954e-04
4.754248141999999788e+00	 8.270502000000000756e-03	 2.308302430603300856e-02	 2.227683592999999958e-04
4.778990109999999625e+00	 8.224248999999999449e-03	 2.374882739172580817e-02	 2.340148734000000006e-04
4.803593317999999890e+00	 8.177995999999999877e-03	 2.365271006590352956e-02	 2.477445429000000123e-04
4.828059354999999719e+00	 8.132934999999999123e-03	 2.374605364596531556e-02	 2.882661243000000017e-04
4.852391242999999577e+00	 8.088349999999997625e-03	 2.347582773086256264e-02	 3.236052934999999954e-04
4.876590092999999904e+00	 8.044480999999999160e-03	 2.339699328172955423e-02	 3.486777280000000006e-04
4.900658131000000139e+00	 8.000850999999998062e-03	 2.301829004608641274e-02	 4.028231253999999700e-04
4.924597421999999725e+00	 7.958174000000000151e-03	 2.309339244096715940e-02	 5.401130917000000753e-04
4.948409239000000071e+00	 7.916212000000000595e-03	 2.303231786989144020e-02	 4.669272225999999667e-04
4.972095966000000367e+00	 7.874966000000000604e-03	 2.366156852525843832e-02	 5.164468223000000593e-04
4.995659191999999749e+00	 7.833958000000000241e-03	 2.480829328760630892e-02	 6.096540508999999820e-04
5.019100507000000100e+00	 7.793902999999998728e-03	 2.449561351491323299e-02	 8.093209127999999569e-04
5.042421499999999668e+00	 7.754086999999998918e-03	 2.161033101676116189e-02	 8.635991317000000231e-04
5.065624077999999919e+00	 7.714509999999999076e-03	 2.115610664330696417e-02	 9.756054259999999726e-04
